Document ID,cluster_id,stakeholder_type,NIST AI RMF,NIST AI 100-1,NIST SP 800-*,EU AI Act,EO 14110,EO 14141,OMB M-*,ISO/IEC 42001,ISO/IEC 23894,MITRE ATLAS,OWASP,C2PA
NIST-2025-0035-0186,180,Individual,1,1,1,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0187,181,Individual,0,0,0,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0188,182,CivilSocietyNGO,1,0,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0189,183,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0190,184,LawFirmOrConsultancy,1,1,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0191,185,Other,1,0,0,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0192,186,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0193,187,Other,1,1,0,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0194,188,Individual,1,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0196,189,Other,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0021,19,Individual,1,0,1,1,0,0,0,0,0,0,0,0
NIST-2025-0035-0197,190,EnterpriseSoftwareOrSecurityVendor,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0198,191,Other,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0199,192,Other,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0200,193,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0201,194,TradeAssociation,1,0,0,0,0,0,0,0,0,0,1,0
NIST-2025-0035-0202,195,Individual,1,1,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0203,196,Individual,1,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0204,197,AIStartup,1,1,1,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0205,198,StandardsOrProfessionalBody,1,0,1,1,0,0,0,1,0,1,1,0
NIST-2025-0035-0206,199,Individual,0,0,1,0,0,0,0,0,0,1,1,0
NIST-2025-0035-0004,2,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0022,20,Individual,0,0,0,0,0,0,0,0,0,0,0,0
NIST-2025-0035-0207,200,AIStartup,1,0,1,1,0,0,0,0,0,0,0,0
